iter	Logloss
0	0.6752423656
1	0.6615459649
2	0.6498307904
3	0.640179748
4	0.6321744991
5	0.625527836
6	0.6197130481
7	0.6149275828
8	0.6106648641
9	0.6069641429
10	0.6035480902
11	0.6002184252
12	0.5974828109
13	0.5950863866
14	0.5924457103
15	0.5899398571
16	0.5879127876
17	0.585770032
18	0.583747951
19	0.5816226625
20	0.5797514128
21	0.578002491
22	0.5764360414
23	0.5745376791
24	0.5732895084
25	0.5717174678
26	0.5700668216
27	0.5684208466
28	0.5669921062
29	0.5654456109
30	0.563484715
31	0.5616033265
32	0.5600171136
33	0.558857115
34	0.5569918152
35	0.5552459798
36	0.5539553696
37	0.5528276086
38	0.5515414414
39	0.5506461146
40	0.5491854558
41	0.5478367744
42	0.5469186288
43	0.5459287077
44	0.5447324463
45	0.5433765196
46	0.5421950719
47	0.5411243548
48	0.5400056377
49	0.5390051935
50	0.5380125963
51	0.5364280544
52	0.5353271061
53	0.5345162082
54	0.5336770056
55	0.532811858
56	0.5319423587
57	0.5312265599
58	0.5302763117
59	0.5291867241
60	0.5278080685
61	0.5265828107
62	0.5257418967
63	0.5247282122
64	0.5238561784
65	0.5227925083
66	0.5219114356
67	0.5209042707
68	0.5196858582
69	0.518639661
70	0.5178718623
71	0.5164129545
72	0.5154560257
73	0.514447879
74	0.5131265415
75	0.5121453348
76	0.5106561173
77	0.5096043636
78	0.5085362864
79	0.5075000071
80	0.5063025465
81	0.5050157867
82	0.5035844453
83	0.5026513856
84	0.5016646367
85	0.5006378221
86	0.4993407587
87	0.4983666478
88	0.4974942977
89	0.4963605454
90	0.4953815171
91	0.4943669291
92	0.4932839468
93	0.4921615584
94	0.4908665652
95	0.4900635551
96	0.4889783009
97	0.4878992898
98	0.4871081157
99	0.4859981891
100	0.4850523203
101	0.4839265847
102	0.4829253773
103	0.4822754745
104	0.4813944975
105	0.4803840036
106	0.4794380321
107	0.4787966148
108	0.4779301715
109	0.4771647616
110	0.4761500129
111	0.4750575055
112	0.4743354551
113	0.4736618318
114	0.4726911347
115	0.4717166739
116	0.4708556335
117	0.4697792543
118	0.4686890297
119	0.467754052
120	0.4668985484
121	0.4659126846
122	0.4650457112
123	0.4645684828
124	0.4639344935
125	0.4632969543
126	0.4622778431
127	0.46150922
128	0.460835127
129	0.4597353867
130	0.4587473818
131	0.4581290275
